      N    Δx             FH            FV              F        E %
0     1  1.570796  355776.000000  13968.169239  356050.097497   1.941786
1     2  0.785398  355776.000000  14067.247751  356053.998202   1.940670
2     3  0.523599  355776.000000  14085.594811  356054.723543   1.940462
3     4  0.392699  355776.000000  14092.016221  356054.977633   1.940389
4     5  0.314159  355776.000000  14094.988407  356055.095279   1.940356
5     6  0.261799  474368.000000  18752.659337  474738.519246  23.544474
6     7  0.224399  457426.285714  14097.576427  457643.473157  20.688516
7     8  0.196350  355776.000000  14098.208267  356055.222757   1.940319
8     9  0.174533  355776.000000  14098.641454  356055.239909   1.940314
9    10  0.157080  426931.200000  14098.951310  427163.938040  15.029384
10   11  0.142800  355776.000000  16638.847703  356164.868325   1.908937
11   12  0.130900  355776.000000  14099.354938  356055.268162   1.940306
12   13  0.120830  410510.769231  16248.439753  410832.208388  11.651564
13   14  0.112200  406601.142857  14099.598314  406845.533397  10.785839
14   15  0.104720  403212.800000  15962.107745  403528.624719  10.052520
15   16  0.098175  355776.000000  14099.756273  356055.284054   1.940301
16   17  0.092400  355776.000000  15743.129222  356124.147305   1.920589
17   18  0.087266  355776.000000  15651.883374  356120.125280   1.921741
18   19  0.082673  393226.105263  14099.906357  393478.814194   7.755178
19   20  0.078540  355776.000000  14099.942034  356055.291410   1.940299
20   21  0.074800  355776.000000  14099.972737  356055.292626   1.940299
21   22  0.071400  388119.272727  15369.832916  388423.482331   6.554612
22   23  0.068295  386713.043478  15314.645978  387016.170693   6.214815
23   24  0.065450  385424.000000  15264.057044  385726.134989   5.901157
24   25  0.062832  355776.000000  14100.060921  356055.296118   1.940298
25   26  0.060415  383143.384615  15174.551423  383443.764046   5.341053
26   27  0.058178  382129.777778  14100.091073  382389.826790   5.080155
27   28  0.056100  381188.571429  14100.103785  381449.262569   4.846105
28   29  0.054165  380312.275862  14100.115205  380573.567685   4.627157
29   30  0.052360  379494.400000  14100.125501  379756.254946   4.421896
30   31  0.050671  378729.290323  14100.134818  378991.674249   4.229076
31   32  0.049087  355776.000000  14100.143275  356055.299380   1.940297
32   33  0.047600  377338.181818  14100.150975  377601.532989   3.876495
33   34  0.046200  355776.000000  14100.158005  356055.299963   1.940297
34   35  0.044880  355776.000000  14100.164441  356055.300218   1.940297
35   36  0.043633  355776.000000  14876.179751  356086.875495   1.931258
36   37  0.042454  375007.135135  14100.175784  375272.123078   3.279831
37   38  0.041337  374501.052632  14835.347598  374794.778460   3.156647
38   39  0.040277  355776.000000  14100.185427  356055.301049   1.940297
39   40  0.039270  355776.000000  14100.189715  356055.301219   1.940297
40   41  0.038312  355776.000000  14100.193693  356055.301376   1.940297
41   42  0.037400  355776.000000  14765.348307  356082.262527   1.932578
42   43  0.036530  355776.000000  14749.883123  356081.621582   1.932761
43   44  0.035700  371947.636364  14735.120827  372239.396064   2.491828
44   45  0.034907  355776.000000  14100.207042  356055.301905   1.940296
45   46  0.034148  371244.521739  14100.209848  371512.194738   2.300965
46   47  0.033421  355776.000000  14100.212476  356055.302120   1.940296
47   48  0.032725  355776.000000  14682.221993  356078.825288   1.933562
48   49  0.032057  355776.000000  14100.217258  356055.302310   1.940296
49   50  0.031416  355776.000000  14100.219437  356055.302396   1.940296
50   51  0.030800  355776.000000  14647.992831  356077.415557   1.933966
51   52  0.030208  355776.000000  14100.223423  356055.302554   1.940296
52   53  0.029638  369201.509434  14100.225249  369470.663139   1.761123
53   54  0.029089  368952.888889  14617.566576  369242.342469   1.700377
54   55  0.028560  355776.000000  14608.162034  356075.779258   1.934434
55   56  0.028050  355776.000000  14100.230153  356055.302820   1.940296
56   57  0.027558  355776.000000  14100.231618  356055.302878   1.940296
57   58  0.027083  355776.000000  14581.894016  356074.702568   1.934742
58   59  0.026624  367836.203390  14573.731590  368124.797014   1.401961
59   60  0.026180  355776.000000  14565.841223  356074.045539   1.934930
60   61  0.025751  355776.000000  14100.236775  356055.303082   1.940296
61   62  0.025335  367252.645161  14100.237911  367523.226595   1.240574
62   63  0.024933  367070.476190  14100.238993  367341.191851   1.191634
63   64  0.024544  355776.000000  14536.745314  356072.856506   1.935271
64   65  0.024166  366722.953846  14100.241010  366993.925936   1.098137
65   66  0.023800  366557.090909  14523.519806  366844.699462   1.057905
66   67  0.023445  355776.000000  14100.242849  356055.303323   1.940296
67   68  0.023100  366240.000000  14511.072215  366527.364349   0.972242
68   69  0.022765  366088.347826  14505.119000  366375.595382   0.931221
69   70  0.022440  365941.028571  14100.245317  366212.579399   0.887121
70   71  0.022124  365797.859155  14493.715627  366084.882992   0.852549
71   72  0.021817  365658.666667  14488.251495  365945.583304   0.814808
72   73  0.021518  355776.000000  14100.247487  356055.303507   1.940296
73   74  0.021227  365391.567568  14100.248152  365663.526548   0.738301
74   75  0.020944  365263.360000  14100.248791  365535.414392   0.703512
75   76  0.020668  355776.000000  14100.249405  356055.303583   1.940296
76   77  0.020400  355776.000000  14100.249996  356055.303606   1.940296
77   78  0.020138  364898.461538  14458.408749  365184.792696   0.608175
78   79  0.019883  364782.987342  14100.251109  365055.399817   0.572946
79   80  0.019635  364670.400000  14100.251635  364942.896536   0.542295
80   81  0.019393  355776.000000  14100.252142  356055.303691   1.940296
81   82  0.019156  355776.000000  14100.252630  356055.303710   1.940296
82   83  0.018925  355776.000000  14100.253100  356055.303729   1.940296
83   84  0.018700  364246.857143  14100.253554  364519.670373   0.426819
84   85  0.018480  364147.200000  14428.916798  364432.952555   0.403126
85   86  0.018265  355776.000000  14100.254415  356055.303781   1.940296
86   87  0.018055  363954.758621  14421.362162  364240.362960   0.350464
87   88  0.017850  363861.818182  14100.255217  364134.919951   0.321609
88   89  0.017649  355776.000000  14100.255599  356055.303828   1.940296
89   90  0.017453  363682.133333  14100.255967  363955.369962   0.272434
90   91  0.017261  363595.252747  14100.256324  363868.554630   0.248641
91   92  0.017074  355776.000000  14100.256668  356055.303870   1.940296
92   93  0.016890  363427.096774  14400.647739  363712.294712   0.205785
93   94  0.016711  363345.702128  14397.452416  363630.837376   0.183430
94   95  0.016535  355776.000000  14100.257639  356055.303909   1.940296
95   96  0.016362  363188.000000  14100.257942  363461.608176   0.136955
96   97  0.016194  363111.587629  14100.258236  363385.253351   0.115972
97   98  0.016029  355776.000000  14385.323199  356066.706811   1.937031
98   99  0.015867  362963.393939  14382.444035  363248.234733   0.078295
99  100  0.015708  355776.000000  14379.622450  356066.476543   1.937097
